func_id,prefix,globals
106500,bug_report_button_0_,
147462,sq_fixatts_0_,
79879,get_move_target_list_0_,lastTargetMailbox;imapConnection
86025,select_option_day_0_,
172042,save_option_noop_0_,
167255,error_message_0_,default_folder_prefix
191149,charset_decode_iso_8859_3_0_,
194576,charset_decode_koi8_u_0_,
32788,compute_folder_children_0_,username;boxes;data_dir;collapse_folders
106517,bug_report_block_0_,
198679,quotevalue_0_,
92188,squirrelmail_plugin_init_view_as_html_0_,squirrelmail_plugin_hooks
120861,s_search_0_,
133160,removePref_0_,prefs_cache
77865,print_response_0_,
63530,load_filters_0_,username;data_dir
106539,bug_report_button_do_0_,username;color;data_dir
96300,parseConfig_0_,newcfg
75821,squirrelmail_plugin_init_squirrelspell_0_,squirrelmail_plugin_hooks
69679,mail_fetch_check_noselect_0_,
2096,addressbook_inp_field_0_,color
227378,parseAddress_1_,
170037,createWidget_FolderList_0_,
92214,view_as_html_info_0_,
161847,sqimap_run_command_0_,color;squirrelmail_language
104504,fortune_show_0_,color
79929,delete_move_next_moveNextForm_0_,sort;passed_id;what;startMessage;color;mailbox;base_uri;delete_id;imapConnection;where;move_id;currentArrayIndex
182586,getSmallStringCell_0_,
172091,create_hidden_element_0_,
127038,sqimap_mailbox_list_0_,username;default_sub_of_inbox;save_as_draft;data_dir;sent_folder;folder_prefix;draft_folder;default_folder_prefix;delimiter;trash_folder;noselect_fix_enable;list_special_folders_first;move_to_sent;move_to_trash
174091,abook_database_0_,
8263,ShowIdentityInfo_0_,color
226316,getAddressTokens_0_,
81994,sent_subfolders_special_mailbox_0_,username;data_dir;sent_folder
135246,is_ssl_secured_connection_0_,sq_ignore_http_x_forwarded_headers;sq_https_port
75855,squirrelspell_optpage_register_block_0_,optpage_blocks
120912,lookup_0_,
102481,spamcop_show_link_0_,spamcop_quick_report;spamcop_enabled;spamcop_method
84053,endcalendar_0_,color;month;day;year
77911,info_is_plugin_enabled_0_,plugins
106588,bug_report_block_do_0_,username;optpage_data;data_dir;bug_report_visible
133213,setPref_1_,prefs_cache
223248,parseLanguage_0_,
86114,calendar_readmultiline_0_,
153699,compose_Header_0_,username;frame_top;data_dir;compose_new_win;base_uri;reply_focus;action;delimiter;hide_sm_attributions
129124,sm_truncate_string_0_,
14437,showInputForm_0_,username;default_use_mdn;attachments;color;sig_first;prefix_sig;passed_body;location_of_buttons;session_expired;subject;passed_id;use_javascript_addr_book;data_dir;composesession;use_signature;send_to_cc;compose_new_win;send_to;from_htmladdr_search;saved_draft;body;editor_size;mdn_user_support;startMessage;editor_height;idents;send_to_bcc;draft_id;mailbox;javascript_on;composeMessage;newmail;mail_sent;identity;compose_onsubmit;attachment_dir;mailprio;signature;action;delete_draft;default_charset;edit_as_new
